class_id,class_name,class_code
230,"Manufacture of machinery for textile, apparel and leather production",C2826
231,Manufacture of other special-purpose machinery,C2829
232,Manufacture of motor vehicles,C2910
233,Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers,C2920
234,Manufacture of parts and accessories for motor vehicles,C2930
235,Building of ships and floating structures,C3011
236,Building of pleasure and sporting boats,C3012
237,Manufacture of railway locomotive and rolling stock,C3020
238,Manufacture of air and spacecraft and related machinery,C3030
239,Manufacture of air and spacecraft and related machinery,C3040
240,Manufacture of motorcyles,C3091
241,Manufacture of bicycles and invalid carriages,C3092
242,"Manufacture of other transport equipment, n.e.c",C3099
243,Manufacture of wood furniture,C3101
244,"Manufacture of rattan furniture (reed, wicker, and cane)",C3102
245,Manufacture of box beds and mattresses,C3103
246,"Manufacture of partitions, shelves, lockers and office and store fixtures",C3104
247,Manufacture of plastic furniture,C3105
248,Manufacture of furniture and fixtures of metal,C3106
249,"Manufacture of other furniture and fixtures, n.e.c.",C3109
250,Manufacture of jewelry and related articles,C3211
251,Manufacture of imitation of jewelry and related articles,C3212
252,Manufacture of musical instruments,C3220
253,Manufacture of sports goods,C3230
254,Manufacture of games and toys,C3240
255,Manufacture of medical and dental instruments and supplies,C3250
256,Manufacture of pens and pencils of all kinds,C3291
257,"Manufacture of umbrellas, walking sticks, canes, whips and riding crop",C3292
258,"Manufacture of articles for personal use, e.g. smoking pipes, combs, slides and similar articles",C3293
259,Manufacture of candles,C3294
260,"Manufacture of artificial flowers, fruits and foliage",C3295
261,Manufacture of burial coffin,C3296
262,"Manufacture of other miscellaneous articles, n.e.c.",C3299
263,Repair of fabricated metal products,C3311
264,Repair of machinery,C3312
265,Repair of electronic and optical equipment,C3313
266,Repair of electrical equipment,C3314
267,"Repair of transport equipment, except motor vehicles",C3315
268,Repair of other equipment,C3319
269,Installation of industrial machinery and equipment,C3320
270,"Electric power generation, transmission and distribution",D3510
271,Manufacture of gas; distribution of gaseous fuels through mains,D3520
272,"Steam, air conditioning supply and production of ice",D3530
273,"Water collection, treatment and supply",E3600
274,Sewerage,E3700
275,Collection of non-hazardous waste,E3811
276,Collection of hazardous waste,E3812
277,Treatment and disposal of non-hazardous waste,E3821
278,Treatment and disposal of hazardous waste,E3822
279,Materials recovery,E3830
280,Remediation activities and other waste management services,E3900
281,Construction of buildings,F4100
282,Construction of roads and railways,F4210
283,Construction of utility projects,F4220
284,Construction of other civil engineering projects,F4290
285,Demolition,F4311
286,Site preparation,F4312
287,Electrical installation,F4321
288,"Plumbing, heat and air-conditioning installation",F4322
289,Other construction installation,F4329
290,Building completion and finishing,F4330
291,Other specialized construction activities,F4390
292,Sale of motor vehicles,G4510
293,Maintenance and repair of motor vehicles,G4520
294,Sale of motor vehicle parts and accessories,G4530
295,"Sale, maintenance and repair of motorcycles and related parts and accessories",G4540
296,Wholesale on a fee or contract basis,G4610
297,Wholesale of agricultural raw materials and live animals,G4620
298,"Wholesale of food, beverages and tobacco",G4630
299,"Wholesale of textiles, clothing and footwear",G4641
300,Wholesale of miscellaneous consumer goods,G4642
301,Wholesale of other household goods,G4649
302,"Wholesale of computers, computer peripheral equipment and software",G4651
303,Wholesale of electronic and telecommunications equipment and parts,G4652
304,"Wholesale of agricultural machinery, equipment and supplies",G4653
305,Wholesale of other machinery and equipment,G4659
306,"Wholesale of solid, liquid and gaseous fuels and related products",G4661
307,Wholesale of metals and metal ores,G4662
308,"Wholesale of construction materials, hardware, plumbing and heating equipment and supplies",G4663
309,"Wholesale of waste and scrap and other products, n.e.c.",G4669
310,Non-specialized wholesale trade,G4690
311,"Retail sale in non-specialized stores with food, beverages or tobacco predominating",G4711
312,Other retail sale in non-specialized stores,G4719
313,Retail sale of food in specialized stores,G4721
314,Retail sale of beverages in specialized stores,G4722
315,Retail sale of tobacco products in specialized stores,G4723
316,Retail sale of automotive fuel in specialized stores,G4730
317,"Retail sale of computers, peripheral units, software and telecommunications equipment in specialized stores",G4741
318,Retail sale of audio and video equipment in specialized stores,G4742
319,Retail sale of textiles in specialized stores,G4751
320,"Retail sale of hardware, paints and glass in specialized stores",G4752
321,"Retail sale of carpets, rugs, wall and floor coverings in specialized stores",G4753
322,"Retail sale of electrical household appliances, furniture, lighting equipment and other household articles in specialized stores",G4759
323,"Retail sale of books, newspapers and stationery in specialized stores",G4761
324,Retail sale of music and video recordings in specialized stores,G4762
325,Retail sale of sporting equipment in specialized stores,G4763
326,Retail sale of games and toys in specialized stores,G4764
327,"Retail sale of clothing, footwear and leather articles in specialized stores",G4771
328,"Retail sale of pharmaceutical and medical goods, cosmetic and toilet articles in specialized stores",G4772
329,Other retail sale of new goods in specialized stores,G4773
330,Retail sale of second-hand goods,G4774
331,Retail sale of liquefied petroleum gas and other fuel products,G4775
332,"Retail sale via stalls and markets of food, beverages and tobacco products",G4781
333,"Retail sale via stalls and markets of textiles, clothing and footwear",G4782
334,Retail sale via stalls and markets of other goods,G4789
335,Retail sale via mail/telephone order houses or via internet,G4791
336,"Other retail sale not in stores, stalls or markets",G4799
337,"Passenger rail transport, inter-urban",H4911
338,Freight rail transport,H4912
339,Transport via buses,H4920
340,"Urban or suburban passenger land transport, except by bus",H4931
341,Other passenger land transport,H4932
342,Freight transport by road,H4933
343,Transport via pipeline,H4940
344,Sea and coastal passenger water transport,H5011
345,Sea and coastal freight water transport,H5012
346,Inland passenger water transport,H5021
347,Inland freight water transport,H5022
348,Passenger air transport,H5110
349,Freight air transport,H5120
350,Warehousing and storage,H5210
351,Service activities incidental to land transportation,H5221
352,Service activities incidental to water transportation,H5222
353,Service activities incidental to air transportation,H5223
354,Cargo handling,H5224
355,Other transportation support activities,H5229
356,Postal activities,H5310
357,Courier activities,H5320
358,Short term acommodation activities,I5510
359,Other accommodation,I5590
360,Restaurants and mobile food service activities,I5610
361,Event catering,I5621
362,Other food service activities,I5629
363,Beverage serving activities,I5630
364,Book Publishing,J5811
365,Publishing of directories and mailing lists,J5812
366,"Publishing of newspapers, journals and periodicals",J5813
367,Other publishing activities,J5819
368,Software publishing,J5820
369,"Motion picture, video and television programme activities",J5911
370,"Motion picture, video and television programme post-production activities",J5912
371,"Motion picture, video and television programme distribution activities",J5913
372,Motion picture projection activities,J5914
373,Sound recording and music publishing activities,J5920
374,Radio broadcasting,J6010
375,Television programming and broadcasting activities,J6020
376,Wired telecommunications activities,J6110
377,Wireless telecommunications activities,J6120
378,Satellite telecommunications activities,J6130
379,Other telecommunications activities,J6190
380,Computer programming activities,J6201
381,Computer consultancy and computer facilities management activities,J6202
382,Other information technology and computer service activities,J6209
383,"Data processing, hosting and related activities",J6311
384,Web portals,J6312
